id	logFC	AveExpr	t	P.Value	adj.P.Val	B
RNASE2	1.23791046695402	8.06896252830189	8.27249037176574	2.85258016807236e-11	2.23242923953343e-07	15.1808175101333
S100A8	1.26592163505747	11.6569310188679	5.87276469157088	2.4795807600246e-07	0.000215613322532806	6.7711633496109
S100A9	0.781596643678162	10.754629754717	5.69670815012689	4.76801512999188e-07	0.000310954053394304	6.16285153903964
RTN1	-0.736392704022989	6.57123322641509	-5.40733996877749	1.3832507382922e-06	0.000437348094089121	5.1723037460076
CKAP4	0.735779382183901	10.5894038490566	5.27085305062151	2.2750168424045e-06	0.000593476060288588	4.7098598553796
ZFP36	-0.673223606321841	11.9666422830189	-5.22025688523389	2.73341700099463e-06	0.000668491295305748	4.53931045384197
TXN	0.718422165229882	11.5219389622642	4.97473473089505	6.61198880754709e-06	0.00114989832017474	3.71922162878229
STK17B	0.613371377873559	7.73399950943396	4.95172363636278	7.17783213324777e-06	0.00119518541010206	3.64304806149015
POLD2	-0.718417264367817	9.46718709433962	-4.92768782542755	7.81961839554529e-06	0.00124890476660281	3.56361659836444
VCAN	1.04839311637931	9.88574418867925	4.89846675938212	8.67604369621522e-06	0.00132784144760294	3.46723713062683
S100P	1.06271616522988	9.14694724528302	4.87214785189786	9.52574957824398e-06	0.00137169365844262	3.38060921273655
HIRIP3	-0.597895795977013	7.50427988679245	-4.76770035655492	1.3778446449059e-05	0.00164668395178828	3.03855690775138
SLPI	1.07496640373563	8.49419862264151	4.61868008404603	2.32153930264395e-05	0.00243269998318922	2.55561089486797
AIM2	0.611250363505746	6.91956003773585	4.56798632580185	2.76852431782976e-05	0.00270830891391696	2.39276662872788
NEDD9	0.655471804597702	7.06534271698113	4.55383374442754	2.90764141723293e-05	0.00277502460137377	2.34744046019843
TNFAIP6	1.29329083764368	9.47369724528302	4.53282616319711	3.1268007465785e-05	0.00285079611799042	2.28027145831341
ANXA1	0.709968478448275	11.2110989433962	4.50047805568268	3.49612075046035e-05	0.0029739827166416	2.17710649070505
ORM1	0.904110784482757	7.65173837735849	4.45760140524126	4.05177300498243e-05	0.00330303911843672	2.0408657032637
DFFB	-0.590743224137932	6.36453864150943	-4.45248030800826	4.1236331662559e-05	0.00332696424320811	2.02463220295238
CKS2	0.682542360632183	7.90545228301887	4.41636295256535	4.666888815589e-05	0.00354946951131416	1.91038162816026
RAPGEF1	-0.705667558908047	8.59298705660377	-4.393167188171	5.05188399459391e-05	0.00376533753730399	1.83722923086921
KCNJ15	0.879059919540232	7.62400771698113	4.35679017235814	5.71865953545727e-05	0.00421265732289399	1.72286459631379
F5	0.891284106321838	6.79300433962264	4.19352711902693	9.92269883172815e-05	0.00605108232955557	1.21517497083775
RNASE3	0.722172477011492	7.02621381132075	4.14508988867756	0.000116649236135526	0.00644916866328982	1.06638593074626
IL1R2	0.868301330459767	8.90858835849057	4.13944837920023	0.000118861441195532	0.00647946414702925	1.04911292517224
SLC22A4	0.695221191091952	7.76733033962264	4.12541314622524	0.000124542727858793	0.00661189761509281	1.00619200825739
CSF1R	-0.710216191091959	9.9078728490566	-4.11618797599745	0.000128419171670599	0.00661189761509281	0.978021056190921
IRAK3	0.586676781609194	8.34878149056604	4.09441665066994	0.000138036023478053	0.0070147397385665	0.911665788500911
RPL31	0.816268745689655	11.948965490566	4.04056647452895	0.00016490949160953	0.00797027224943685	0.748322284752175
TPST1	0.872087080459768	7.98490205660377	4.01661941549248	0.000178423174953016	0.00822316179246282	0.676047483190012
RALGDS	-0.686477011494253	8.67695816981132	-4.00744096506568	0.00018388107764899	0.00822316179246282	0.648406100396235
CD96	-0.803303988505748	7.57970164150943	-3.91969562580584	0.000244870565303202	0.00977733185746357	0.385871214765693
IL18R1	0.610230084770113	7.56310618867925	3.87886475072903	0.000279501138083632	0.0104657498897886	0.264785848886915
